-124.2,43.6,1278,49
-123.8,41.8,1333,44
-123.6,41.6,1323,45
-123.6,47,1246,52
-123.4,42.8,1241,52
-123.4,47.6,1215,54
-123.2,43,1228,53
-123.2,47.8,1112,62
-123,42.4,1315,46
-123,47.2,1134,61
-122.8,40.8,1158,59
-122.8,45.6,1216,54
-122.6,38.8,1312,46
-122.6,43.6,1211,54
-122.6,48.4,1180,57
-122.4,41.2,1186,56
-122.4,46,1188,56
-122.2,38.4,1277,49
-122.2,43.2,1256,51
-122.2,48,1121,62
-122,40.2,1183,57
-122,45,1153,59
-121.8,37,1279,49
-121.8,41.8,1194,56
-121.8,46.6,1247,51
-121.6,38.6,1278,49
-121.6,43.4,1317,46
-121.6,48.2,1159,59
-121.4,40,1287,48
-121.4,44.8,1211,54
-121.2,36.2,1319,46
-121.2,41,1322,45
-121.2,45.8,1314,46
-121,37,1247,51
-121,41.8,1333,45
-121,46.6,1336,44
-120.8,37.6,1326,45
-120.8,42.4,1350,43
-120.8,47.2,1303,47
-120.6,38,1333,44
-120.6,42.8,1350,43
-120.6,47.6,1262,50
-120.4,38.2,1337,44
-120.4,43,1350,43
-120.4,47.8,1249,51
-120.2,38.4,1331,45
-120.2,43.2,1350,43
-120.2,48,1195,56
-120,38.6,1303,47
-120,43.4,1350,43
-120,48.2,1200,55
-119.8,38.6,1279,49
-119.8,43.4,1350,43
-119.8,48.2,1207,55
-119.6,37.6,1350,43
-119.6,42.4,1334,44
-119.6,47.2,1208,55
-119.4,36.2,1223,53
-119.4,41,1350,43
-119.4,45.8,1302,47
-119.2,34.8,1295,48
-119.2,39.6,1308,47
-119.2,44.4,1348,43
-119,33.4,1277,49
-119,38.2,1350,43
-119,43,1347,43
-119,47.8,1191,56
-118.8,36.8,1277,49
-118.8,41.6,1350,43
-118.8,46.4,1270,50
-118.6,35.4,1350,43
-118.6,40.2,1330,45
-118.6,45,1306,47
-118.4,34,1187,56
-118.4,38.8,1350,43
-118.4,43.6,1350,43
-118.4,48.4,1266,50
-118.2,37.4,1314,46
-118.2,42.2,1350,43
-118.2,47,1226,53
-118,36.2,1300,47
-118,41,1350,43
-118,45.8,1239,52
-117.8,35,1273,49
-117.8,39.8,1336,44
-117.8,44.6,1305,47
-117.6,33.6,1299,47
-117.6,38.4,1309,46
-117.6,43.2,1350,43
-117.6,48,1218,54
-117.4,37,1350,43
-117.4,41.8,1350,43
-117.4,46.6,1136,60
-117.2,35.6,1231,53
-117.2,40.4,1350,43
-117.2,45.2,1258,51
-117,34.2,1292,48
-117,39,1322,45
-117,43.8,1327,45
-117,48.6,1231,53
-116.8,37.6,1325,45
-116.8,42.4,1350,43
-116.8,47.2,1121,62
-116.6,36.2,1350,43
-116.6,41,1350,43
-116.6,45.8,1181,57
-116.4,34.8,1264,50
-116.4,39.6,1302,47
-116.4,44.4,1226,53
-116.2,33.4,1344,44
-116.2,38.2,1324,45
-116.2,43,1350,43
-116.2,47.8,1145,60
-116,36.6,1338,44
-116,41.4,1350,43
-116,46.2,1110,63
-115.8,35,1306,47
-115.8,39.8,1318,46
-115.8,44.6,1243,52
-115.6,33.4,1336,44
-115.6,38.2,1350,43
-115.6,43,1350,43
-115.6,47.8,1176,57
-115.4,36.6,1321,45
-115.4,41.4,1350,43
-115.4,46.2,1172,58
-115.2,35,1350,43
-115.2,39.8,1316,46
-115.2,44.6,1284,48
-115,33.4,1284,48
-115,38.2,1349,43
-115,43,1350,43
-115,47.8,1177,57
-114.8,36.6,1309,46
-114.8,41.4,1350,43
-114.8,46.2,1221,54
-114.6,35,1334,44
-114.6,39.8,1334,44
-114.6,44.6,1289,48
-114.4,33.4,1286,48
-114.4,38.2,1314,46
-114.4,43,1350,43
-114.4,47.8,1224,53
-114.2,36.4,1350,43
-114.2,41.2,1350,43
-114.2,46,1249,51
-114,34.2,1348,43
-114,39,1330,45
-114,43.8,1350,43
-114,48.6,1098,64
