Border,Longitude
CA-NV,-120.0019
ID-WA/OR,-116.5
NV-Utah,-114.0492
WY-ID,-111.05
AZ-NM,-109.05
WY-NB,-104.05
KS-CO,-102.05
MO-KS,-94.617926
Il-IN,-87.02
OH-IN,-84.820156
OH-PA,-80.518992
