0.000000000000000000e+00,0.000000000000000000e+00
4.504504504504504325e+01,1.908733547491672309e-30
9.009009009009008651e+01,5.179852356075126900e-30
1.351351351351351298e+02,1.204890014052321192e-29
1.801801801801801730e+02,2.702737741557041233e-29
2.252252252252252163e+02,5.961199079339591888e-29
2.702702702702702595e+02,1.297726720334347375e-28
3.153153153153152743e+02,2.790904326296064771e-28
3.603603603603603460e+02,5.931564108150295490e-28
4.054054054054054177e+02,1.246114893058057109e-27
4.504504504504504325e+02,2.588228759705016290e-27
4.954954954954954474e+02,5.316069820111185790e-27
5.405405405405405190e+02,1.079960762774958128e-26
5.855855855855855907e+02,2.170395223111843371e-26
6.306306306306305487e+02,4.315846493503711408e-26
6.756756756756756204e+02,8.493188703744610747e-26
7.207207207207206920e+02,1.654371479993473501e-25
7.657657657657657637e+02,3.190297628416493206e-25
8.108108108108108354e+02,6.091753057553866123e-25
8.558558558558557934e+02,1.151972005447379828e-24
9.009009009009008651e+02,2.157766050240301753e-24
9.459459459459459367e+02,4.004077489669527950e-24
9.909909909909908947e+02,7.362203766980371164e-24
1.036036036036035966e+03,1.341499980482823401e-23
1.081081081081081038e+03,2.422813145603165591e-23
1.126126126126126110e+03,4.337737242188932380e-23
1.171171171171171181e+03,7.699934392965915405e-23
1.216216216216216253e+03,1.355365496953324292e-22
1.261261261261261097e+03,2.366112422987226734e-22
1.306306306306306169e+03,4.097194719669086909e-22
1.351351351351351241e+03,7.038362950498057484e-22
1.396396396396396312e+03,1.199639956644871940e-21
1.441441441441441384e+03,2.029007427364984789e-21
1.486486486486486456e+03,3.405868833014214760e-21
1.531531531531531527e+03,5.674672200611870739e-21
1.576576576576576599e+03,9.385948067639607891e-21
1.621621621621621671e+03,1.541327339485247078e-20
1.666666666666666515e+03,2.513302700761023331e-20
1.711711711711711587e+03,4.069871346057580272e-20
1.756756756756756658e+03,6.545673015254996756e-20
1.801801801801801730e+03,1.045722519017710303e-19
1.846846846846846802e+03,1.659651697855851132e-19
1.891891891891891873e+03,2.617005570105928373e-19
1.936936936936936945e+03,4.100411652136818476e-19
1.981981981981981789e+03,6.384580877998185471e-19
2.027027027027026861e+03,9.880195760951160226e-19
2.072072072072071933e+03,1.519749978307049201e-18
2.117117117117117232e+03,2.323788142940282537e-18
2.162162162162162076e+03,3.532500284226696895e-18
2.207207207207206920e+03,5.339146450302647346e-18
2.252252252252252219e+03,8.024301967264907412e-18
2.297297297297297064e+03,1.199304717350609136e-17
2.342342342342342363e+03,1.782702730245633064e-17
2.387387387387387207e+03,2.635693570940218661e-17
2.432432432432432506e+03,3.876289820018713635e-17
2.477477477477477350e+03,5.671277470826057018e-17
2.522522522522522195e+03,8.255172527269270099e-17
2.567567567567567494e+03,1.195607348979585789e-16
2.612612612612612338e+03,1.723074381233776594e-16
2.657657657657657637e+03,2.471198802906294547e-16
2.702702702702702481e+03,3.527232343970570931e-16
2.747747747747747781e+03,5.010914980021849572e-16
2.792792792792792625e+03,7.085814845622585173e-16
2.837837837837837924e+03,9.974358051198781219e-16
2.882882882882882768e+03,1.397765991191038133e-15
2.927927927927927612e+03,1.950157625990095924e-15
2.972972972972972912e+03,2.709077759623685978e-15
3.018018018018017756e+03,3.747312699643873529e-15
3.063063063063063055e+03,5.161723537615702565e-15
3.108108108108107899e+03,7.080679925185729931e-15
3.153153153153153198e+03,9.673622522261114318e-15
3.198198198198198043e+03,1.316331458598943162e-14
3.243243243243243342e+03,1.784147731289872013e-14
3.288288288288288186e+03,2.408866640734179125e-14
3.333333333333333030e+03,3.239944429165459806e-14
3.378378378378378329e+03,4.341413959935538776e-14
3.423423423423423174e+03,5.795877024209455236e-14
3.468468468468468473e+03,7.709504659785811931e-14
3.513513513513513317e+03,1.021827765728867860e-13
3.558558558558558616e+03,1.349574750587040437e-13
3.603603603603603460e+03,1.776265486526315557e-13
3.648648648648648305e+03,2.329880959745012784e-13
3.693693693693693604e+03,3.045771496879457316e-13
3.738738738738738448e+03,3.968451054017244366e-13
3.783783783783783747e+03,5.153791538807976994e-13
3.828828828828828591e+03,6.671697773793577134e-13
3.873873873873873890e+03,8.609358115273299812e-13
3.918918918918918735e+03,1.107518236453074195e-12
3.963963963963963579e+03,1.420355772496432866e-12
4.009009009009008878e+03,1.816057547236582270e-12
4.054054054054053722e+03,2.315090604477888857e-12
4.099099099099098567e+03,2.942602877789785004e-12
4.144144144144143866e+03,3.729405489346478143e-12
4.189189189189189165e+03,4.713141900017608421e-12
4.234234234234234464e+03,5.939675572471594282e-12
4.279279279279278853e+03,7.464732461663250717e-12
4.324324324324324152e+03,9.355839865259935944e-12
4.369369369369369451e+03,1.169460900155435821e-11
4.414414414414413841e+03,1.457941518777064007e-11
4.459459459459459140e+03,1.812853672307950063e-11
4.504504504504504439e+03,2.248382159565897102e-11
4.549549549549549738e+03,2.781495999096073753e-11
4.594594594594594128e+03,3.432445033940951233e-11
4.639639639639639427e+03,4.225335736743009510e-11
4.684684684684684726e+03,5.188797236779424676e-11
4.729729729729729115e+03,6.356749874558317096e-11
4.774774774774774414e+03,7.769289988588044277e-11
4.819819819819819713e+03,9.473706158875212479e-11
4.864864864864865012e+03,1.152564377845778669e-10
4.909909909909909402e+03,1.399043660343564585e-10
4.954954954954954701e+03,1.694462584881253721e-10
5.000000000000000000e+03,2.047768945691485672e-10
5.045045045045044390e+03,2.469400637164409485e-10
5.090090090090089689e+03,2.971508300925299520e-10
5.135135135135134988e+03,3.568207162797996211e-10
5.180180180180180287e+03,4.275861296730733505e-10
